isbn_or_asin,book_title,author,publisher,published_date
4065324017,プリキュアコスチュームクロニクル = Precure Costume Chronicle : プリキュア20周年アニバーサリー,東映アニメーション株式会社,講談社,202310
9811379661,"Kawaii engineering : measurements, evaluations, and applications of attractiveness","大倉, 典子,Michiko Ohkura, editor",Springer,"Thu, 21 Sep 2023 08:21:44 +0900"
4309419690,日本怪談実話,"田中,貢太郎,1880-1941",河出書房新社,202306
4309419712,戦前のこわい話 : 怪奇実話集,"志村,有弘,1941-",河出書房新社,202306
481440039X,RustとWebAssemblyによるゲーム開発 : 安全・高速・プラットフォーム非依存のWebアプリ開発入門,"Smith,Eric 中田,秀基,1967-",オーム社 (発売),202307
4800307961,元報道記者が見た昭和事件史 : 歴史から抹殺された惨劇の記録,"石川,清,1964-",洋泉社,201511
4814400225,プログラミング文体練習 : Pythonで学ぶ40のプログラミングスタイル,"Lopes,CristinaVideira 菊池,彰",オーム社 (発売),202306
4863135629,絶対に停まらない世界の廃墟駅,"Ross,David(DavidSoutherland) 大島,聡子",日経BPマーケティング (発売),202305
4883673790,デジタルアーカイブの理論と実践 : デジタルアーキビスト入門,"井上,透,1952- 大井,将生 細川,季穂 日本デジタルアーキビスト資格認定機構",樹村房,202304
4761101857,仙人ワンダーランド : 和漢仙人列伝,"影山,純夫,1947-",河原書店,202305
4797681217,亜宗教 : オカルト、スピリチュアル、疑似科学から陰謀論まで,"中村,圭志,1958-",集英社 (発売),202304
4390114956,フランス怪奇民話集,"植田, 祐次, 1936-,山内, 淳, 1951-,植田祐次, 山内淳 訳編",社会思想社,"Wed, 30 Mar 1994 09:00:00 +0900"
4794226144,映画を追え : フィルムコレクター歴訪の旅,"山根,貞男,1939-",草思社,202302
4837967701,あなたの知らない「ヘン」な法律,"なかむら,いちろう",三笠書房,201512
487502553X,キルヒャーの世界図鑑 : よみがえる普遍の夢,"Godwin,Joscelyn,1945- 川島,昭夫,1950-2020",工作舎,202303
4295003255,新人エンジニアのためのインフラ入門,"BFT,BFT 著",インプレス,"Mon, 9 Apr 2018 23:56:19 +0900"
4788517981,２ちゃん化する世界,石井大智／編著 清義明／著 安田峰俊／著 藤倉善郎／著,新曜社,20230222
4865280685,わたしが先生の「ロリータ」だったころ,アリソン・ウッド／著者 服部理佳／訳者,左右社,20220307
4798068160,"Good Code,Bad Code : 持続可能な開発のためのソフトウェアエンジニア的思考","Long,Tom 秋,勇紀 高田,新山 山本,大祐,1983-",秀和システム,202302
1680502549,Domain modeling made functional : tackle software complexity with domain-driven design and F♯,"Wlaschin, Scott,MacDonald, Brian,Scott Wlaschin",The Pragmatic Bookshelf,"Thu, 21 Sep 2023 08:21:44 +0900"
0312383215,What people wore when : a complete illustrated history of costume from ancient times to the nineteenth century for every level of society,"Leventon, Melissa,Melissa Leventon",St. Martin's Griffin,"Thu, 21 Sep 2023 08:21:44 +0900"
4296111914,電子工作パーツ制御完全攻略 : ラズパイ自由自在,"松岡,貴志 日経BP",日経BPマーケティング (発売),202203
4562071990,ポワロと私 : デビッド・スーシェ自伝,"Suchet,David,1946- Wansell,Geoffrey,1945- ほか",原書房,202210
4562072547,世界を騙した女詐欺師たち,"Telfer,Tori 富原,まさ江,1965-",原書房,202302
3031004418,General Game Playing,"Michael Genesereth,Michael Thielscher",Springer,2014-03-18
4839967091,囲碁ディープラーニングプログラミング,"Pumperla,Max Ferguson,Kevin 山岡,忠夫",マイナビ出版,201904
4309460631,ホームズ贋作展覧会,"各務, 三郎, 1936-,各務三郎 編",河出書房新社,"Thu, 5 Oct 1989 09:00:00 +0900"
0321842685,Hacker's delight,"Warren, Henry S.,Henry S. Warren, Jr",Addison-Wesley,"Thu, 21 Sep 2023 08:21:44 +0900"
4814400160,自分だけのボードゲームを作ろう : ゲームをデザインして、作って、みんなでプレイする,"Daniels,JesseTerrance 金井,哲夫,1958-",オーム社 (発売),202212
4480438319,神田神保町書肆街考,鹿島茂／著,筑摩書房,20221013
4910612041,大学院・大学編入のための応用数学 : 基本事項の整理と問題演習および入試問題研究,"桜井,基晴",プレアデス出版,202209
4787210130,ボンデージ進化論,北原童夢／著,青弓社,19920401
4816357688,オールカラー普通免許〈ひっかけ対策〉問題集 : そのまま本試験,,ナツメ社,201502
4758017832,中谷友紀子東映アニメーションプリキュアワークス = Nakatani Yukiko TOEI ANIMATION PRECURE WORKS 2,"中谷,友紀子,1986-",講談社 (発売),202210
4274227170,縫うコンピュータグラフィックス : ぬいぐるみから学ぶ3DCGとシミュレーション,"五十嵐,悠紀,1982-",オーム社,202105
4297130343,リアルタイムグラフィックスの数学 = Mathematics of Real-Time Graphics : GLSLではじめるシェーダプログラミング,"巴山,竜来,1982-",技術評論社,202209
4121506197,サラブレッドに「心」はあるか,"楠瀬,良,1951-",中央公論新社,201804
4758017115,高橋晃東映アニメーションプリキュアワークス = : TAKAHASHI AKIRA TOEI ANIMATION PRECURE WORKS,"高橋,晃,1971-",講談社 (発売),202102
479806338X,最新アニメ業界の動向とカラクリがよ～くわかる本 : 業界人、就職、転職に役立つ情報満載,"谷口,功,1954- 麻生,はじめ,1955-",秀和システム,202012
4907162219,魔術の文法学 : Japanese edition,"前野, 佳彦,前野佳彦 著",テクネ,"Tue, 9 Dec 2014 20:48:21 +0900"
4295000965,Goプログラミング実践入門 : 標準ライブラリでゼロからWebアプリを作る,"鄭,兆雄 武舎,広幸 阿部,和也 上西,昌弘",インプレス,201703
4774146129,C言語入門書の次に読む本,"坂井,弘亮,1973-",技術評論社,201105
4873119693,実用Go言語 : システム開発の現場で知っておきたいアドバイス,"渋川,よしき 辻,大志郎,1990- 真野,隼記,1986-",オーム社 (発売),202204
4101311013,河童が覗いたヨーロッパ,"妹尾,河童,1930-",新潮社,198307
4065250390,アート展「初音ミク・クロニクル」公式ビジュアルブック,,講談社,202110
479862750X,塗りフェチ事典 : リアルな肉感キャラを描く! 女の子編,ホビージャパン,ホビージャパン,202202
4866808136,あなたを陰謀論者にする言葉,"雨宮,純",フォレスト出版,202110
4635047520,遊歩大全,"Fletcher, Colin, 1922-2007,芦沢, 一洋, 1938-1996,コリン・フレッチャー 著,芦沢一洋 訳",山と溪谷社,"Thu, 10 Jan 2013 23:21:11 +0900"
4327452831,文芸翻訳教室,"越前,敏弥,1961-",研究社,201804
4065267757,みんなのユニバーサル文章術 : 今すぐ役に立つ「最強」の日本語ライティングの世界,"安田,峰俊",講談社 (発売),202201
4802207174,赤羽駅周辺の失われし鉄路を求めて : 特集,,イカロス出版,"Thu, 21 Sep 2023 08:21:44 +0900"
4802207921,消散軌道風景 : あなたの知らない鉄道考古学,岡本憲之 総合プロデューサー,イカロス出版,"Mon, 2 Mar 2020 23:25:04 +0900"
4802208731,消散軌道風景 : あなたの知らない鉄道考古学,岡本憲之 総合プロデューサー,イカロス出版,"Fri, 21 Aug 2020 23:21:44 +0900"
4802210280,廃線系鉄道考古学 : あなたの知らない消散軌道風景.,岡本憲之 総合プロデューサー,イカロス出版,"Fri, 13 Aug 2021 19:14:41 +0900"
4062177358,究極のナローゲージ鉄道 : せまい鉄路の記録集,"岡本,憲之,1968-",講談社,201205
486320146X,実録鉄道連隊 : 知られざるその使命を解き明かす : 創設から終焉、路線から車両まで…,,イカロス出版,"Thu, 16 Nov 2023 20:26:30 +0900"
4533039812,"全国鉱山鉄道 : 鉄道の原点""ヤマ""軌道をもとめて","岡本,憲之,1968-",JTB,200110
4802209525,廃線系鉄道考古学 : あなたの知らない消散軌道風景.,岡本憲之 総合プロデューサー,イカロス出版,"Fri, 16 Apr 2021 00:20:06 +0900"
4802211015,廃線系鉄道考古学 : あなたの知らない消散軌道風景 2022Vol.3,,イカロス出版,202202
0764574817,Reversing : secrets of reverse engineering,"Eilam, Eldad,Eldad Eilam ; [foreward by Elliot Chikofsky]",Wiley,"Thu, 21 Sep 2023 08:21:44 +0900"
4065250455,なぜオナニーはうしろめたいのか,"赤川,学,1967- 小堀,善友,1975- シオリーヌ,1991- 典雅",講談社 (発売),202110
4863542755,組込みエンジニアの教科書 = The textbook of the Embedded engineer,"渡辺,登,pub.2019 牧野,進二",シーアンドアール研究所,201904
4106035952,拷問と処刑の西洋史,"浜本,隆志,1944-",新潮社,200712
4000298739,松坂和夫数学入門シリーズ = Kazuo Matsuzaka's Introduction to Mathematics 3,"松坂,和夫,1927-2012",岩波書店,201811
4798164739,ゲームメカニクス大全 : ボードゲームに学ぶ「おもしろさ」の仕掛け,"Engelstein,Geoffrey Shalev,Isaac 小野,卓也",翔泳社,202010
4866365366,ライトノベルの新・潮流 = LIGHT NOVEL NEW TIDE CURRENT : 黎明期→2021,"石井,ぜんじ 太田,祥暉,1996- 松浦,恵介,1980-",スタンダーズ,202201
4863543638,OSSライセンスを正しく理解するための本 = Understand the Open Source Software License Correctly,"姉崎,章博",シーアンドアール研究所,202111
4839977607,AWSではじめるクラウド開発入門 : コードを書いて学ぶエンジニア・科学者のためのハンズオン教材,"真野,智之",マイナビ出版,202109
4864718652,スーパーナチュラル・ウォー : 第一次世界大戦と驚異のオカルト・魔術・民間信仰,"Davies,Owen,1969- 江口,之隆,1958-",ヒカルランド,202004
4010377275,総合的研究問題文の読み取り方-数学1・A・2・B : 大学受験,,旺文社,202108
4150315000,異常論文,"樋口,恭介,1989-",早川書房,202110
4909466010,エヴァンゲリオンイラスト集 : 2007-2017,"「エヴァンゲリオンイラスト集2007-2017」編集部 編,カラー 監修",グラウンドワークス,"Wed, 25 Sep 2019 22:28:05 +0900"
4044006261,もっとヘンな論文,サンキュータツオ,KADOKAWA,202007
4044003343,ヘンな論文,サンキュータツオ,KADOKAWA,201711
4061975978,新約聖書外典,"荒井,献,1930-",講談社,199712
4046043938,"奇書の世界史 : 歴史を動かす""ヤバい書物""の物語","三崎,律日,1990-",KADOKAWA,201908
4426624096,世界の奇書 : 総解説,,自由国民社,199804
4480510443,キリスト教の幼年期,エチエンヌ・トロクメ／著 加藤隆／翻訳,筑摩書房,20210812
4151845518,ブート・バザールの少年探偵,"Anappara,Deepa 坂本,あおい",早川書房,202104
4151201009,地下鉄道,"Whitehead,Colson,1969- 谷崎,由依",早川書房,202010
4863134940,世界の幽霊出現録,"Innes,Brian,1928-2014 大島,聡子",日経BPマーケティング (発売),202108
4065135060,プリキュアコスチュームクロニクル = Precure Costume Chronicle : プリキュア15周年アニバーサリー,東映アニメーション株式会社,講談社,201810
4777519651,Java将棋のアルゴリズム : アルゴリズムの強化手法を探る,"池, 泰弘, 1971-,工学社,池泰弘 著,I O編集部 編集",工学社,"Mon, 12 Sep 2016 20:34:45 +0900"
4880655066,ダム建設と地域住民補償,古賀邦雄／著,水曜社,20210624
4767827779,すごいエスカレーター = SUPER ESCALATORS,"田村,美葉,1984-",エクスナレッジ,202009
4344983874,子どものまま中年化する若者たち : 根拠なき万能感とあきらめの心理,"鍋田,恭孝,1947-",幻冬舎,201507
4000298313,代数への出発,"松坂,和夫,1927-2012",岩波書店,201503
4314011521,中古典のすすめ,"斉藤,美奈子,1956-",紀伊國屋書店,202009
4905924405,19人の阿部定,"桑原, 稲敏, 1939-1993,桑原稲敏 著",現代書林,"Tue, 26 Jan 1982 09:00:00 +0900"
4865280111,戦前尖端語辞典,平山亜佐子／著・編集 山田参助／絵・漫画,左右社,20210131
4047308382,闇に這う者 = THE HAUNTER OF THE DARK : ラヴクラフト傑作集,"田邊,剛,1975-",KADOKAWA,201604
4757735804,アウトサイダー,"田邊,剛,1975-",エンターブレイン,200707
4839971056,マンガで学ぶ恐竜の生態,"金,渡潤 渡辺,麻土香",マイナビ出版,202005
433403795X,テキヤはどこからやってくるのか? : 露店商いの近現代を辿る,"厚,香苗,1975-",光文社,201404
4480098682,精講　漢文,前野直彬／著,筑摩書房,20180808
4480435921,「読まなくてもいい本」の読書案内,橘玲／著,筑摩書房,20190509
4040647343,VISIONS : ILLUSTRATORS BOOK 2021,ピクシブ株式会社,KADOKAWA,202011
4569841090,マルチ・ポテンシャライト : 好きなことを次々と仕事にして、一生食っていく方法,"Wapnick,Emilie 長澤,あかね",PHP研究所,201809
4044006202,自閉症は津軽弁を話さない : 自閉スペクトラム症のことばの謎を読み解く,"松本,敏治,1957-",KADOKAWA,202009
404735483X,時を超える影 : ラヴクラフト傑作集 2,"Lovecraft,HowardPhillips,1890-1937 田邊,剛,1975-",KADOKAWA,201901
4150505691,津波の霊たち : 3・11死と生の物語,"LloydParry,Richard,1969- 濱野,大道",早川書房,202101
4122052424,ピアニストという蛮族がいる,"中村,紘子,1944-2016",中央公論新社,200912
