isbn_or_asin,book_title,author,publisher,published_date,central_opac_link,mathlib_opac_link
4320114450,入門情報幾何 = Introduction to Information Geometry : 統計的モデルをひもとく微分幾何学,"藤岡,敦",共立出版,202104,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC07070283,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784320114456&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4297136333,大規模言語モデル入門 = Introduction to Large Language Models,"山田,育矢 鈴木,正敏ソフトウェアエンジニア 山田,康輔 李,凌寒",技術評論社,202308,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03194521,
4781911463,応用のための関数解析 : その考え方と技法,"吉田,善章,1958-",サイエンス社,200610,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA78762034,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784781911465&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4274227332,人工知能が俳句を詠む : AI一茶くんの挑戦,"川村,秀憲,1973- 山下,倫央 横山,想一郎",オーム社,202107,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC08482989,
4274229629,仕事ですぐに使える!DaVinci Resolveによる動画編集,"小寺,信良,1963-",オーム社,202211,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC18312544,
4764906635,ベイズ最適化 = Bayesian Optimization : 適応的実験計画の基礎と実践,"今村,秀明 松井,孝太",近代科学社,202308,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03544113,
4274230104,Optunaによるブラックボックス最適化,"佐野,正太郎,ソフトウェアエンジニア 秋葉,拓哉 今村,秀明 太田,健 水野,尚人 ほか",オーム社,202302,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00752431,
4274227782,スモールデータ解析と機械学習,"藤原,幸一",オーム社,202202,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC12822785,
4480093583,情報理論,甘利俊一／著,筑摩書房,20110401,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB05323551,
400006973X,データ解析のための統計モデリング入門 : 一般化線形モデル・階層ベイズモデル・MCMC,"久保,拓弥,1969- 甘利,俊一,1936- 麻生,英樹,1958- 伊庭,幸人,1959-",岩波書店,201205,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB09194745,
4320115511,データ解析のための数理統計入門,久保川達也／著,共立出版,20231012,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD04282351,
4535787654,CGは数学でできている = CG:Your view into math! : 映像数学の展望,"安生,健一",日本評論社,202308,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03304969,
4320114949,計算トポロジー入門,"Edelsbrunner,Herbert Harer,John 荒井,迅 竹内,博志",共立出版,202309,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03706306,
4790703428,神秘主義を学ぶ人のために,"久野,昭,1930-",世界思想社,198901,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN02881402,
4622090511,儀式をゲーム理論で考える : 協調問題、共通知識とは,"Chwe,MichaelSuk-Young,1965- 安田,雪,1963-",みすず書房,202206,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC15202244,
4339026026,アルゴリズムの自動微分と応用,"久保田,光一,1960- 伊理,正夫,1933-2018",コロナ社,199807,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA36098157,
4041083265,ゴーストリイ・フォークロア = ghostly folklore : 17世紀～20世紀初頭の英国怪異譚,"南条,竹則,1958-",KADOKAWA,202001,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2960018X,
4274230899,ゲーム理論からの社会ネットワーク分析,藤山英樹／著,オーム社,20231025,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD04504034,
4798140996,その理屈、証明できますか? : 正しく命題にたどり着くための手法と思考の学び方,"Velleman,DanielJ.,1954- 神林,靖,1958-",翔泳社,201611,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2259476X,
4320115007,偏微分方程式の計算数理,齊藤宣一／著,共立出版,20231025,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD04524053,
4764906007,ストラング:線形代数とデータサイエンス,"Strang,Gilbert 松崎,公紀",近代科学社,202110,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC10710871,
4274231089,"機械学習のための確率過程入門 = An Introduction to stochastic processes for machine learning : 確率微分方程式からベイズモデル,拡散モデルまで","内山,祐介",オーム社,202309,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD04065295,
4642084355,古記録入門,"高橋,秀樹,1964-",吉川弘文館,202307,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD0276166X,
4260024086,自閉症スペクトラムの精神病理 : 星をつぐ人たちのために,"内海,健,1955-",医学書院,201511,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB20254148,
448009489X,『日本文学史序説』補講,加藤周一／著,筑摩書房,20120901,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB10128544,
4320124006,ENIAC : 現代計算技術のフロンティア,"Haigh,Thomas,1972- Priestley,PeterMark Rope,Crispin ほか",共立出版,201606,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB21398369,
4002710807,検証ナチスは「良いこと」もしたのか？,"小野寺,拓也 田野,大輔",岩波書店,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02875057,
450246371X,デジタル技術の進展と会計情報,"奥村,雅史",中央経済グループパブリッシング (発売),202307,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02940217,
4764903881,コンピュータ・ジオメトリ,"M. ドバーグ [ほか] 著,De Berg, Mark,Cheong, Otfried,Kreveld, Marc van,Overmars, Mark H., 1958-,浅野, 哲夫(1949-),",近代科学社,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB01245591,
4320094700,なぜ壁のシミが顔に見えるのか : パレイドリアとアニマシーの認知心理学,日本認知科学会／編集 高橋康介／著,共立出版,20230912,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03747314,
4785322799,理工系学生のための量子力学・統計力学入門,"小鍋,哲,1979-",裳華房,202307,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD0328174X,
4815809798,ヨーロッパ中世の想像界,池上俊一／著,名古屋大学出版会,20200305,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29850110,
4274065979,ハッカーと画家 : コンピュータ時代の創造者たち,"Graham,Paul,1964- 川合,史朗",オーム社,200501,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA70640882,
4585303022,共振するデジタル人文学とデジタルアーカイブ,"鈴木,親彦,1980-",勉誠社,202307,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03075409,
4873117283,ヘルシープログラマ : プログラミングを楽しく続けるための健康Hack,"Kutner,Joe 玉川,竜司,1964-",オーム社,201507,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB19178847,
4798918431,企業が求める〈主体性〉とは何か : 教育と労働をつなぐ〈主体性〉言説の分析,"武藤,浩子",東信堂,202304,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02131650,
4903966364,ホガースの時代 : 版画で読むイギリス,"中村隆 著,中村, 隆, 1961-,",山形大学出版会,"Fri, 12 May 2023 09:00:00 +0900",https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01853376,
4634591340,将棋の日本史 : 日本将棋はどのように生まれたのか,"永井,晋,1959-",山川出版社,202306,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02763960,
453560844X,xのx乗のはなし,"土基,善文,1965- 上野,健爾,1945- 浪川,幸彦,1945- 高橋,陽一郎,1946-",日本評論社,200207,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA57451998,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784535608443&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4787292749,怪談の仕掛け,伊藤龍平／著,青弓社,20230620,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02729441,
425420163X,"「かわいい」工学 = ""KAWAII"" Engineering","大倉,典子,1953-",朝倉書店,201703,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2341504X,
481440039X,RustとWebAssemblyによるゲーム開発 : 安全・高速・プラットフォーム非依存のWebアプリ開発入門,"Smith,Eric 中田,秀基,1967-",オーム社 (発売),202307,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02922022,
4641150044,金融のエッセンス = THE ESSENCE OF BANKING & FINANCE,"川西,諭 山崎,福寿,1954-",有斐閣,201312,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB14311338,
4872596447,アーカイブズとアーキビスト,大阪大学アーカイブズ／編 高橋明男／著 菅真城／著 三阪佳弘／著 矢切努／著 三輪宗弘／著 ほか,大阪大学出版会,20210410,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC06512105,
4814400225,プログラミング文体練習 : Pythonで学ぶ40のプログラミングスタイル,"Lopes,CristinaVideira 菊池,彰",オーム社 (発売),202306,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02610154,
4622095556,デジタル時代のアーカイブ系譜学,"柳,与志夫,1954- 加藤,諭,1978- 宮本,隆史,1979-",みすず書房,202212,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC18724483,
4883673790,デジタルアーカイブの理論と実践 : デジタルアーキビスト入門,"井上,透,1952- 大井,将生 細川,季穂 日本デジタルアーキビスト資格認定機構",樹村房,202304,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD0179071X,
4130502077,メディア考古学とは何か？,ユッシパリッカ／著 梅田拓也／翻訳 大久保遼／翻訳 近藤和都／翻訳 光岡寿郎／翻訳,東京大学出版会,20230725,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03076445,
4758925992,イギリス哲学者の英語 : 通時的研究,"秋元,実治,1941-",開拓社,202305,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02133973,
4422701274,コンスピリチュアリティ入門 : スピリチュアルな人は陰謀論を信じやすいか,"横山,茂雄,1954- 竹下,節子,1951- 清,義明,1967- 堀江,宗正,1969- ほか",創元社,202303,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01487755,
4797681217,亜宗教 : オカルト、スピリチュアル、疑似科学から陰謀論まで,"中村,圭志,1958-",集英社 (発売),202304,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01630156,
