isbn_or_asin,book_title,author,publisher,published_date,exist_in_sophia
4865280685,わたしが先生の「ロリータ」だったころ,アリソン・ウッド／著者 服部理佳／訳者,左右社,20220307,No
4798068160,"Good Code,Bad Code : 持続可能な開発のためのソフトウェアエンジニア的思考","Long,Tom 秋,勇紀 高田,新山 山本,大祐,1983-",秀和システム,202302,No
4622089513,患者の話は医師にどう聞こえるのか : 診察室のすれちがいを科学する,"Ofri,Danielle,1965- 原井,宏明 勝田,さよ",みすず書房,202011,No
1680502549,Domain modeling made functional : tackle software complexity with domain-driven design and F♯,"Scott Wlaschin,Wlaschin, Scott,MacDonald, Brian,",The Pragmatic Bookshelf,,No
4764905132,IT技術者の長寿と健康のために,"長野,宏宣,1945- 中川,晋一,1961- 蒲池,孝一,1947- 情報通信医学研究所",近代科学社,201606,No
0312383215,What people wore when : a complete illustrated history of costume from ancient times to the nineteenth century for every level of society,"Melissa Leventon,Leventon, Melissa,",St. Martin's Griffin,,No
4296111914,電子工作パーツ制御完全攻略 : ラズパイ自由自在,"松岡,貴志 日経BP",日経BPマーケティング (発売),202203,No
4798061700,実践Rustプログラミング入門 = introduction to rust programming,"初田,直也 山口,聖弘 吉川,哲史 豊田,優貴 松本,健太郎,webエンジニア 原,将己 ほか",秀和システム,202009,No
4562072547,世界を騙した女詐欺師たち,"Telfer,Tori 富原,まさ江,1965-",原書房,202302,No
4344953304,幼なじみ萌え : ラブコメ恋愛文化史,"玉井,建也",幻冬舎,201711,No
3031004418,General Game Playing,"Michael Genesereth,Michael Thielscher",Springer,2014-03-18,No
4798125393,実践プログラミングDSL : ドメイン特化言語の設計と実装のノウハウ,"Ghosh,Debasish,1953- 佐藤,竜一,1972-",翔泳社,201206,No
4839967091,囲碁ディープラーニングプログラミング,"Pumperla,Max Ferguson,Kevin 山岡,忠夫",マイナビ出版,201904,No
4309460631,ホームズ贋作展覧会,"各務三郎 編,各務, 三郎, 1936-,",河出書房新社,"Thu, 05 Oct 1989 09:00:00 +0900",No
0321842685,Hacker's Delight,Henry S. Warren,Pearson Education,2013,No
4434046683,ハッカーのたのしみ : 本物のプログラマはいかにして問題を解くか,"Warren,HenryS 滝沢,徹",星雲社,200409,No
4774153265,人間に勝つコンピュータ将棋の作り方,コンピュータ将棋協会,技術評論社,201211,No
4814400160,自分だけのボードゲームを作ろう : ゲームをデザインして、作って、みんなでプレイする,"Daniels,JesseTerrance 金井,哲夫,1958-",オーム社 (発売),202212,No
4798171549,「技術書」の読書術 : 達人が教える選び方・読み方・情報発信&共有のコツとテクニック,"IPUSIRON,1979- 増井,敏克,1979-",翔泳社,202211,No
4480438319,神田神保町書肆街考,鹿島茂／著,筑摩書房,20221013,No
4787210130,ボンデージ進化論,北原童夢／著,青弓社,19920401,No
4297102838,逆引きPIC電子工作やりたいこと事典,"後閑哲也著,後閑, 哲也,",技術評論社,,No
4816357688,オールカラー普通免許〈ひっかけ対策〉問題集 : そのまま本試験,,ナツメ社,201502,No
4003751337,サラゴサ手稿 上,"Potocki,Jan,1761-1815 畑,浩一郎",岩波書店,202209,No
4588276476,鉄道旅行の歴史　〈新装版〉,W.シヴェルブシュ／著 加藤二郎／訳,法政大学出版局,20111209,No
4758017832,中谷友紀子東映アニメーションプリキュアワークス = Nakatani Yukiko TOEI ANIMATION PRECURE WORKS 2,"中谷,友紀子,1986-",講談社 (発売),202210,No
4297130343,リアルタイムグラフィックスの数学 = Mathematics of Real-Time Graphics : GLSLではじめるシェーダプログラミング,"巴山,竜来,1982-",技術評論社,202209,No
448009654X,増補　八月十五日の神話,佐藤卓己／著,筑摩書房,20141201,No
4297129140,作って学ぶコンピュータアーキテクチャ : LLVMとRISC-5による低レイヤプログラミングの基礎,"木村,優之",技術評論社,202207,No
4484121034,性欲の科学 : なぜ男は「素人」に興奮し、女は「男同士」に萌えるのか,"Ogas,Ogi Gaddam,Sai 坂東,智子,1955-",阪急コミュニケーションズ,201202,No
4309242200,屋根裏に誰かいるんですよ。 : 都市伝説の精神病理,"春日武彦 著,春日, 武彦, 1951-,",河出書房新社,"Thu, 14 Mar 2002 09:00:00 +0900",No
4121506197,サラブレッドに「心」はあるか,"楠瀬,良,1951-",中央公論新社,201804,No
4297128462,達人が教えるWebパフォーマンスチューニング : ISUCONから学ぶ高速化の実践,"藤原,俊一郎 馬場,俊彰 中西,建登 長野,雅広 金子,達哉,1991- 草野,翔",技術評論社,202206,No
490381419X,これならわかる工学部で学ぶ数学,"千葉,逸人,1982-",プレアデス出版,200902,No
4478013322,完全独習ベイズ統計学入門,"小島,寛之,1958-",ダイヤモンド社,201511,No
4758017115,高橋晃東映アニメーションプリキュアワークス = : TAKAHASHI AKIRA TOEI ANIMATION PRECURE WORKS,"高橋,晃,1971-",講談社 (発売),202102,No
4806714453,〈図説〉日本の結び,"藤原,覚一,1895-1990",築地書館,201210,No
479806338X,最新アニメ業界の動向とカラクリがよ～くわかる本 : 業界人、就職、転職に役立つ情報満載,"谷口,功,1954- 麻生,はじめ,1955-",秀和システム,202012,No
4907162219,魔術の文法学 = Grammatology of the magic : 記号論的エッセー : Japanese edition,"前野佳彦 著,前野, 佳彦,",テクネ,"Tue, 09 Dec 2014 09:00:00 +0900",No
4295000965,Goプログラミング実践入門 : 標準ライブラリでゼロからWebアプリを作る,"鄭,兆雄 武舎,広幸 阿部,和也 上西,昌弘",インプレス,201703,No
4765318699,診察室の陰性感情 = Negative emotions in the examination room,"加藤温 著,加藤, 温,",金芳堂,"Wed, 23 Jun 2021 09:00:00 +0900",No
458276763X,職人歌合,"網野,善彦,1928-2004",平凡社,201205,No
4896942787,「聖女」の誕生 : テューリンゲンの聖エリーザベトの列聖と崇敬,"三浦麻美 著,三浦, 麻美, 1978-,",八坂書房,"Thu, 19 Nov 2020 09:00:00 +0900",No
4798044784,"ハロー""Hello,World""OSと標準ライブラリのシゴトとしくみ : たった7行のCプログラムから解き明かす","坂井,弘亮,1973-",秀和システム,201509,No
4774146129,C言語入門書の次に読む本,"坂井,弘亮,1973-",技術評論社,201105,No
4779516269,なぜあなたは国際誌に論文を掲載できないのか : 誰も教えてくれなかった本当に必要なこと,"加藤,司,心理学",ナカニシヤ出版,202203,No
0472034758,Academic writing for graduate students : essential tasks and skills,"Swales,John Feak,ChristineB.",University of Michigan Press,c2012-01,No
4101311013,河童が覗いたヨーロッパ,"妹尾,河童,1930-",新潮社,198307,No
4065250390,アート展「初音ミク・クロニクル」公式ビジュアルブック,,講談社,202110,No
4582763294,日本奥地紀行,"Bird,IsabellaLucy,1831-1904 高梨,健吉,1919-2010",平凡社,200002,No
4044004951,秘境旅行,"芳賀,日出男,1921-",KADOKAWA,202001,No
479862750X,塗りフェチ事典 : リアルな肉感キャラを描く! 女の子編,ホビージャパン,ホビージャパン,202202,No
415209558X,世界を破綻させた経済学者たち : 許されざる七つの大罪,"Madrick,JeffreyG 池村,千秋,1971-",早川書房,201508,No
4866808136,あなたを陰謀論者にする言葉,"雨宮,純",フォレスト出版,202110,No
4535787719,線型代数 = Linear Algebra,"長谷川,浩司,1963-",日本評論社,201503,No
4635047520,遊歩大全,"コリン・フレッチャー 著,芦沢一洋 訳,Fletcher, Colin, 1922-2007,芦沢, 一洋, 1938-1996,",山と溪谷社,"Thu, 10 Jan 2013 09:00:00 +0900",No
4065267757,みんなのユニバーサル文章術 : 今すぐ役に立つ「最強」の日本語ライティングの世界,"安田,峰俊",講談社 (発売),202201,No
4065259797,迷走しない!英語論文の書き方 : 秘密は「構造」作りにあり,"Chaubey,Varanya 成田,悠輔 布施,雄士",講談社,202201,No
4336073198,法の書　〔増補新訳〕　【普及版】,アレイスター・クロウリー／著 植松靖夫／翻訳,国書刊行会,20220222,No
4796692282,死体の本 : 善悪の彼岸を超える世紀末死人学!,,宝島社,,No
4802207174,赤羽駅周辺の失われし鉄路を求めて : 特集,,イカロス出版,,No
4802207921,消散軌道風景 : あなたの知らない鉄道考古学,"岡本憲之 総合プロデューサー,",イカロス出版,"Mon, 02 Mar 2020 09:00:00 +0900",No
4802208731,首都圏廃線めぐり : 特集,,イカロス出版,,No
4802210280,常磐炭鉱 : 1976 : 特集,,イカロス出版,,No
4062177358,究極のナローゲージ鉄道 : せまい鉄路の記録集,"岡本,憲之,1968-",講談社,201205,No
486320146X,実録鉄道連隊 : 知られざるその使命を解き明かす : 創設から終焉、路線から車両まで…,,イカロス出版,"Tue, 18 Aug 2009 09:00:00 +0900",No
4533039812,"全国鉱山鉄道 : 鉄道の原点""ヤマ""軌道をもとめて","岡本,憲之,1968-",JTB,200110,No
4802209525,廃線系鉄道考古学 : あなたの知らない消散軌道風景,"岡本憲之 総合プロデューサー,",イカロス出版,"Thu, 15 Apr 2021 09:00:00 +0900",No
4802211015,廃線系鉄道考古学 : あなたの知らない消散軌道風景 2022Vol.3,,イカロス出版,202202,No
0764574817,Reversing : secrets of reverse engineering,"Eldad Eilam ; [foreward by Elliot Chikofsky],Eilam, Eldad,",Wiley,,No
4798164739,ゲームメカニクス大全 : ボードゲームに学ぶ「おもしろさ」の仕掛け,"Engelstein,Geoffrey Shalev,Isaac 小野,卓也",翔泳社,202010,No
4866365366,ライトノベルの新・潮流 = LIGHT NOVEL NEW TIDE CURRENT : 黎明期→2021,"石井,ぜんじ 太田,祥暉,1996- 松浦,恵介,1980-",スタンダーズ,202201,No
4863543638,OSSライセンスを正しく理解するための本 = Understand the Open Source Software License Correctly,"姉崎,章博",シーアンドアール研究所,202111,No
