isbn_or_asin,book_title,author,publisher,published_date
4873117127,コンピュータシステムの理論と実装 : モダンなコンピュータの作り方,"Nisan,Noam Schocken,Shimon 斎藤,康毅,1984-",オーム社,201503
4839909865,CPUの創りかた : IC10個のお手軽CPU設計超入門 : 初歩のデジタル回路動作の基本原理と製作,"渡波,郁",毎日コミュニケーションズ,200309
4404035861,危ない食卓 : 十九世紀イギリス文学にみる食と毒,"横山,茂雄,1954-",新人物往来社,200812
4297125161,暗号から学ぶ代数学,"川添,充,1968- 上野,健爾,1945-",技術評論社,202112
4004130018,歴史とは何か,Ｅ．Ｈ．カー,岩波書店,1962-01
4322139884,飲みの技法,"Opsopäus,Vincentius 原澤,隆三郎,1951-",きんざい,202110
4094070400,安楽死を遂げた日本人,"宮下,洋一,1976-",小学館,202107
4062920484,図説金枝篇 下,"Frazer,JamesGeorge,1854-1941 MacCormack,Sabine ほか",講談社,201105
4062920476,図説金枝篇 上,"Frazer,JamesGeorge,1854-1941 MacCormack,Sabine ほか",講談社,201104
4839973490,詳解セキュリティコンテスト : CTFで学ぶ脆弱性攻略の技術,"梅内,翼 清水,祐太郎 藤原,裕大 前田,優人 米内,貴志 渡部,裕",マイナビ出版,202107
4991119006,数理物理研究,"田中俊行, 小西巌, 相原典明, 横山賢, 片桐奏羽, 近藤弘 著,田中, 俊行,小西, 巌,相原, 典明,横山, 賢, 1952-,片桐, 奏羽, 1977-,近藤, 弘, pub. 2020,",数理物理出版会,"Tue, 23 May 2023 09:00:00 +0900"
4839965412,将棋AIで学ぶディープラーニング : 人より強い将棋プログラムを作る!,"山岡,忠夫",マイナビ出版,201803
4908686033,Goならわかるシステムプログラミング,"渋川よしき 著,渋川, よしき,",ラムダノート,"Mon, 11 Jun 2018 09:00:00 +0900"
4798106577,教科書には載らないニッポンのインターネットの歴史教科書,ばるぼら,翔泳社,200505
430946730X,ヒーラ細胞の数奇な運命 : 医学の革命と忘れ去られた黒人女性,"Skloot,Rebecca,1972- 中里,京子,1955-",河出書房新社,202103
4065225450,異端審問,"渡辺,昌美,1930-2016",講談社,202102
4621061860,"暗号理論入門 : 暗号アルゴリズム, 署名と認証, その数学的基礎","Buchmann,Johannes 林,芳樹",丸善出版,201201
439393038X,音楽分析の歴史 : ムシカ・ポエティカからシェンカー分析へ,"久保田,慶一,1955-",春秋社,202003
4480864369,テキヤと社会主義,猪野健治／著,筑摩書房,20150225
4297112744,スペースキーで見た目を整えるのはやめなさい : 8割の社会人が見落とす資料作成のキホン,,技術評論社,202006
4797386673,この一冊で全部わかるネットワークの基本,"福永,勇二,1966-",SBクリエイティブ,201604
4778315928,エロマンガ表現史 = The Expression History of Ero-Manga,"稀見,理都",太田出版,201711
4750349267,アーカイブズ論 記録のちからと現代社会,スー・マケミッシュ／編 マイケル・ピゴット／編 バーバラ・リード／編 フランク・アップウォード／編 ほか,明石書店,20191225
4404042167,最新日本古代史の論争51,新人物往来社,新人物往来社,201206
430941172X,中世幻想世界への招待,"池上,俊一,1956-",河出書房新社,201209
4297116014,揚げて炙ってわかるコンピュータのしくみ = Fry and Roast to understand how computer works,"秋田,純一,1970-",技術評論社,202009
4309463037,人間はどこまで耐えられるのか,"Ashcroft,FrancesM,1952- 矢羽野,薫,1969-",河出書房新社,200805
483188779X,なぜ人はカルトに惹かれるのか : 脱会支援の現場から,"瓜生,崇,1974-",法藏館,202005
