isbn_or_asin,book_title,author,publisher,published_date,exist_in_sophia,central_opac_link,mathlib_opac_link
4887218222,魔術の人類史,"Greenwood,Susan／著 田内志文／著 グリーンウッドスーザン／著",東洋書林,2015-09,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB19651446,
4875253141,四元数の発見,矢野忠／著,海鳴社,20140919,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB16774858,
4822283119,ネットワークはなぜつながるのか : 知っておきたいTCP/IP、LAN、光ファイバの基礎知識,戸根勤／著 日経BP／著 日経NETWORK／監修,日経BP社 : 日経BP出版センター,2007-04,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA8161483X,
4627854714,計算モデルとプログラミング,猪股俊光／著 山田敬三／著,森北出版,20190419,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28106825,
4560097283,〈賄賂〉のある暮らし,岡奈津子／著,白水社,20191029,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29137336,
4750516597,地下世界をめぐる冒険,ウィル・ハント／著 棚橋志行／翻訳,亜紀書房,20200826,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC02154262,
4022950579,日本中世への招待,呉座勇一／著,朝日新聞出版,20200213,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29630318,
476014580X,歴史好きのための古文書入門,高尾善希／著,柏書房,2015-05,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB18523440,
4478067317,絶滅できない動物たち,Ｍ・Ｒ・オコナー／著 大下英津子／翻訳,ダイヤモンド社,20180928,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27044766,
4309253865,核は暴走する　下,エリック・シュローサー／著 布施由紀子／翻訳,河出書房新社,20180727,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26562266,
4309253857,核は暴走する　上,エリック・シュローサー／著 布施由紀子／翻訳,河出書房新社,20180727,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26562266,
4044005478,オノマトペ 擬音語・擬態語の世界,小野正弘／著,ＫＡＤＯＫＡＷＡ,20191224,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29432766,
4766425197,歴史は実験できるのか,ジャレド・ダイアモンド／訳 ジェイムズ・A・ロビンソン／著・編集 小坂恵理／翻訳,慶應義塾大学出版会,20180606,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26246299,
