title,url
More C++ Idioms,https://ja.wikibooks.org/?curid=7074
京大対策,https://ja.wikibooks.org/?curid=1527
独学ガイド/理工学一般,https://ja.wikibooks.org/?curid=20899
音声ファイルで聴くクラシック音楽入門,https://ja.wikibooks.org/?curid=33271
