isbn_or_asin,book_title,author,publisher,published_date,utokyo_opac
4498019342,最新輸血学テキスト = Textbook of Transfusion Medicine,"大坂,顯通",中外医学社,202306,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD02759919
4797680652,熊楠と幽霊 065 (インターナショナル新書),"志村,真幸,1977-",集英社 (発売),202102,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC05338807
4274232581,「パワエレ、マジわからん」と思ったときに読む本,和田圭二,オーム社,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12610933
4910558071,-Pythonで実践-基礎からの物理学とディープラーニング入門 = Introduction to Physics and Deep Learning-From Basics to Implementation in Python- (エンジニア入門シリーズ),"福嶋,健二 桂,法称",科学情報出版,202211,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC18702607
4414428696,ADHD大国アメリカつくられた流行病,"Schwarz,Alan,1968- 黒田,章史 市毛,裕子",誠信書房,202202,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC12824962
4005008836,生きづらい明治社会 : 不安と競争の時代 883 (岩波ジュニア新書),"松沢,裕作",岩波書店,201809,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB26827633
4260039520,"精神疾患をもつ人を、病院でない所で支援するときにまず読む本 : ""横綱級""困難ケースにしないための技と型","小瀬古,伸幸,1977-",医学書院,201909,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB28749530
4771039755,大正教養主義の成立と末路 : 近代日本の教養幻想,松井健人,晃洋書房,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12791033
4296208004,ネット炎上事例300,,日経BP,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD11687921
4000069756,乱数生成と計算量理論 (確率と情報の科学),"小柴,健史,1967- 甘利,俊一,1936- 麻生,英樹,1958- 伊庭,幸人,1959-",岩波書店,201411,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB17288334
4469246840,英文読解を科学する : テキスト理解の認知メカニズムに基づく読解指導,細田雅也,大修館書店,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12603778
4106037181,神を哲学した中世 : ヨーロッパ精神の源流 (新潮選書),"八木,雄二,1952-",新潮社,201210,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB10602634
4562075473,下着の文化史 : 古代の腰布からスポーツブラまで,ニーナ・エドワーズ 秋山絵里菜,原書房,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12400781
4867931047,呪文の言語学,角悠介／著,作品社,20250805,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12793629
4409530402,呪われたナターシャ :,藤原潤子／著,人文書院,20100620,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB02483675
4000069764,統計的テキストモデル : 言語へのベイズ的アプローチ (確率と情報の科学),持橋大地,岩波書店,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12486288
