isbn_or_asin,book_title,author,publisher,published_date,utokyo_opac
4297143097,深層ニューラルネットワークの高速化 / ML Systems,"佐藤, 竜馬, 1996-,佐藤竜馬 著",技術評論社,"Thu, 5 Sep 2024 19:44:05 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD08482782
4903474496,コンピュータグラフィックス,画像情報教育振興協会,画像情報教育振興協会,"Thu, 9 Jul 2015 22:43:41 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB1832415X
4839984166,大規模データセットのためのアルゴリズムとデータ構造 / Compass Algorithms,"Medjedovic, Dzejla,Tahirovic, Emin,Dedovic, Ines,岡田, 佑一,Dzejla Medjedovic, Emin Tahirovic, Ines Dedovic 著,岡田佑一 訳",マイナビ出版,"Wed, 7 Aug 2024 23:52:24 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD08001410
456962457X,素人のように考え、玄人として実行する : 問題解決のメタ技術,"金出, 武雄, 1945-,金出武雄 著",PHP研究所,"Wed, 13 Aug 2003 00:01:51 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA62447617
4845921324,映像クリエイターのための完全独学マニュアル : 不可能を可能にするテクニック〈撮影・録音・照明・構図・脚本・編集〉,"Ludoc,坂本, 千春,リュドック 著,レジャヌ・タルディ イラスト,坂本千春 訳",フィルムアート社,"Mon, 14 Nov 2022 19:55:51 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC17391975
4845921170,色のコードを読む : なぜ「怒り」は赤で「憂鬱」はブルーなのか,"Simpson, Paul, 1961-,中山, ゆかり, 翻訳家,ポール・シンプソン 著,中山ゆかり 訳",フィルムアート社,"Wed, 1 Feb 2023 23:35:20 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD00226632
4864260524,調査されるという迷惑 : フィールドに出る前に読んでおく本,"宮本, 常一, 1907-1981,安渓, 遊地, 1951-,宮本常一, 安渓遊地 著",みずのわ出版,"Tue, 25 Jun 2024 18:22:47 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD06546443
4150506094,ヴィクトリア朝時代のインターネット / ハヤカワ文庫 NF ; 609,"Standage, Tom, 1969-,服部, 桂, 1951-,トム・スタンデージ 著,服部桂 訳",早川書房,"Fri, 7 Jun 2024 01:29:26 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD06835258
4798068853,Blender Python完全ガイド,"ぬっち,ぬっち 著",秀和システム,"Mon, 5 Feb 2024 23:50:49 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD05135512
4263731638,マイナーエマージェンシー,"大滝, 純司, 1958-,齊藤, 裕之,Buttaravoli, Philip M., 1945-,Leffler, Stephen M,大滝純司 監訳,齊藤裕之 編集,PHILIP BUTTARAVOLI, STEPHEN M.LEFFLER 著",[object Object],"Tue, 18 Jun 2024 00:57:19 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18444231
4908686165,プログラマーのためのCPU入門 : CPUは如何にしてソフトウェアを高速に実行するか,"Takenobu Tani,Takenobu Tani 著",ラムダノート,"Fri, 8 Mar 2024 18:48:48 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD0052128X
4621061453,統計のための行列代数 上,"Harville, David A.,井上, 玄定,伊理, 正夫,シュプリンガージャパン,D.A.ハーヴィル著 ; 井上玄定訳 ; シュプリンガー・ジャパン編",丸善出版,"Sun, 22 Dec 2024 00:00:10 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09108266
4621061526,統計のための行列代数 下,"Harville, David A.,井上, 玄定,伊理, 正夫,シュプリンガージャパン,D.A.ハーヴィル著 ; 井上玄定訳 ; シュプリンガー・ジャパン編",丸善出版,"Sun, 22 Dec 2024 00:00:10 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09108266
4815604975,図解入門TCP/IP : 仕組み・動作が見てわかる,"みやた, ひろし,みやたひろし 著",SBクリエイティブ,"Tue, 26 Jan 2021 23:38:07 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC04797037
4130606077,光の物理 : 光はなぜ屈折、反射、散乱するのか,"小林, 浩一, 1924-2019,小林浩一 著",東京大学出版会,"Tue, 28 Nov 2023 22:56:31 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD04591877
1786347849,Science Research Writing: For Native And Non-native Speakers Of English (second Edition),Hilary Glasman-deal,WSPC (EUROPE),2020-11-27,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC04468556
4867660264,予言獣大図鑑,"長野, 栄俊, 1971-,岩間, 理紀,笹方, 政紀,峰守, ひろかず,長野栄俊 編,岩間理紀, 笹方政紀, 峰守ひろかず [著]",文学通信,"Sat, 30 Nov 2024 01:55:58 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD04773648
4873117437,メタプログラミングRuby,"Perrotta, Paolo,角, 征典,Paolo Perrotta 著,角征典 訳",[object Object],"Thu, 22 Oct 2015 22:57:10 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB19720458
4274227553,凸解析と最適化理論,"田中, 謙輔, 1933-2000,田中謙輔 著",オーム社,"Fri, 15 Oct 2021 19:42:43 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC09853430
4044007527,神秘学講義 / 角川ソフィア文庫 ; G124-1,"高橋, 巌, 1928-2024,高橋巖 [著]",KADOKAWA,"Mon, 8 Jul 2024 21:42:06 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD01231456
4065332834,中世ヨーロッパの色彩世界 / 講談社学術文庫 ; 2784,"徳井, 淑子, 1949-,徳井淑子 [著]",講談社,"Tue, 10 Oct 2023 20:02:52 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD03740097
4798027979,わかる!電子工作の基本100,"遠藤, 敏夫, 1949-,遠藤敏夫 著",秀和システム,"Thu, 27 Jan 2011 20:34:50 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB04134575
4480084886,日本文学史序説 下 / ちくま学芸文庫,"加藤, 周一, 1919-2008,加藤周一 著",筑摩書房,"Sat, 11 Apr 2009 08:59:59 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA41078658
