bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date
https://bookmeter.com/books/220730,433556046X,口頭伝承の比較研究 1,"川田,順造,1934- 徳丸,吉彦,1936-",弘文堂,198411
https://bookmeter.com/books/14299154,4750348856,在野研究ビギナーズ,荒木優太／編著,明石書店,20190901
https://bookmeter.com/books/16647974,4862853218,人文学の学び方 : 探究と発見の喜び,"金子,晴勇,1932-",知泉書館,202009
https://bookmeter.com/books/2253715,4839002290,雪国の宗教風土 : 越後の歴史・人間・自然,"宮, 栄二, 1916-1986,宮栄二 編",名著刊行会,"Fri, 3 Apr 1987 09:00:00 +0900"
https://bookmeter.com/books/12879722,4326248483,歴史学者と読む高校世界史 : 教科書記述の舞台裏,"長谷川,修一,1971- 小澤,実,1973-",勁草書房,201806
https://bookmeter.com/books/11452038,4004316413,文庫解説ワンダーランド 1641 (岩波新書 新赤版),"斉藤,美奈子,1956-",岩波書店,201701
https://bookmeter.com/books/8292841,4122060230,ぐっとくる題名 ふ46-1 (中公文庫),"ブルボン小林,1972-",中央公論新社,201410
https://bookmeter.com/books/15501382,4480436626,奴隷のしつけ方 ふ－53－1 (ちくま文庫),マルクス・シドニウス・ファルクス／著 ジェリー・トナー／著 橘明美／翻訳,筑摩書房,20200411
https://bookmeter.com/books/478303,4122049679,世界史 下 (中公文庫),"McNeill,WilliamHardy,1917-2016 増田,義郎,1928-2016 ほか",中央公論新社,200801
https://bookmeter.com/books/515103,4122049660,世界史 上 (中公文庫),"McNeill,WilliamHardy,1917-2016 増田,義郎,1928-2016 ほか",中央公論新社,200801
https://bookmeter.com/books/11163051,4480097570,読んでいない本について堂々と語る方法 (ちくま学芸文庫),ピエール・バイヤール／著 大浦康介／翻訳,筑摩書房,20161006
https://bookmeter.com/books/517463,4480036660,紅一点論,斎藤美奈子／著,筑摩書房,20010901
https://bookmeter.com/books/266085,4796617353,「おたく」の誕生!! (宝島社文庫),別冊宝島編集部,宝島社,200003
https://bookmeter.com/books/656855,4344981863,「踊る大捜査線」は日本映画の何を変えたのか 185 (幻冬舎新書),日本映画衛星放送株式会社,幻冬舎,201009
https://bookmeter.com/books/12792778,4101214417,パンツが見える。 : 羞恥心の現代史 い-132-1 (新潮文庫),"井上,章一,1955-",新潮社,201805
https://bookmeter.com/books/516842,4480422161,戦闘美少女の精神分析,斎藤環／著,筑摩書房,20060501
https://bookmeter.com/books/8330049,4480432264,キャラクター精神分析,斎藤環／著,筑摩書房,20141101
https://bookmeter.com/books/559299,4101109230,時間の習俗,松本清張,新潮社,
https://bookmeter.com/books/7685261,B00FMV04H6,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD
https://bookmeter.com/books/559301,4101109257,砂の器 下巻 (新潮文庫),"松本,清張,1909-1992",新潮社,200610
https://bookmeter.com/books/559300,4101109249,砂の器. 上巻 (新潮文庫),"松本,清張,1909-1992",新潮社,200610
https://bookmeter.com/books/11562474,4309464378,デカメロン. 上 ホ6-1 (河出文庫),"Boccaccio,Giovanni,1313-1375 平川,祐弘,1931-",河出書房新社,201703
https://bookmeter.com/books/12751712,4309464696,ボルヘス怪奇譚集 ホ5-3 (河出文庫),"Borges,JorgeLuis,1899-1986 BioyCasares,Adolfo,1914-1999 ほか",河出書房新社,201804
https://bookmeter.com/books/527815,4488663028,ガニメデの優しい巨人,ジェイムズ・Ｐ・ホーガン 池／央耿,東京創元社,1981-07
https://bookmeter.com/books/547297,415011742X,夏への扉 SF1742 (ハヤカワ文庫),"Heinlein,RobertAnson,1907-1988 福島,正実,1929-1976",早川書房,201001
https://bookmeter.com/books/178337,4003022610,北越雪譜 (岩波文庫),岡田武松(校訂),岩波書店,
https://bookmeter.com/books/9803247,4479305432,名画は嘘をつく. 2 (ビジュアルだいわ文庫),"木村,泰司",大和書房,201507
https://bookmeter.com/books/9011188,4479305106,名画は嘘をつく (ビジュアルだいわ文庫),"木村,泰司",大和書房,201411
https://bookmeter.com/books/12245979,4150505098,重力波は歌う : アインシュタイン最後の宿題に挑んだ科学者たち 509 (ハヤカワ文庫 NF),"Levin,Janna 田沢,恭子,1970- 松井,信彦",早川書房,201709
https://bookmeter.com/books/13054215,4480071687,闇の日本美術 (ちくま新書),山本聡美／著,筑摩書房,20180905
https://bookmeter.com/books/11094549,4480097325,複素解析　１変数解析関数 (ちくま学芸文庫),笠原乾吉／著,筑摩書房,20160808
https://bookmeter.com/books/25297,4480083774,雨月物語,上田秋成／著 高田衛／著 稲田篤信／著,筑摩書房,19970101
https://bookmeter.com/books/600380,416765170X,その数学が戦略を決める (文春文庫),"Ayres,Ian,1959- 山形,浩生,1964-",文藝春秋,201006
https://bookmeter.com/books/8340136,4478028230,統計学が最強の学問である. 実践編 (データ分析のための思想と方法),"西内,啓",ダイヤモンド社,201410
https://bookmeter.com/books/4669505,4309225691,地図のたのしみ,"堀,淳一,1926-2017",河出書房新社,201203
https://bookmeter.com/books/1404189,4751602004,誤訳の構造 : 英語プロの受験生的ミス,"中原, 道喜,中原道喜 著",吾妻書房,"Thu, 3 Mar 1988 09:00:00 +0900"
https://bookmeter.com/books/318004,4152091053,明日(あした)をどこまで計算できるか? : 「予測する科学」の歴史と可能性,"Orrell,David 大田,直子,1961- 鍛原,多惠子,1952- 熊谷,玲美",早川書房,201001
https://bookmeter.com/books/9867291,4839956480,セキュリティコンテストチャレンジブック : CTFで学ぼう!情報を守るための戦い方,"碓井,利宣 竹迫,良範,1977- 廣田,一貴",マイナビ,201509
https://bookmeter.com/books/13950037,4798158666,入門Haskellプログラミング : 関数型プログラミングの理解とHaskell実活用読本 : 関数型プログラミングを正しく理解し、Haskellで思う存分遊べるようになる本,"Kurt,Will クイープ",翔泳社,201907
https://bookmeter.com/books/14854850,4791713893,現代思想 2019年12月号 特集=巨大数の世界 ―アルキメデスからグーゴロジーまで―,,,
