url,title,published_date
https://posfie.com/@kb10uy/p/cfkNhV5,汎用プラグインとしての WASM (WebAssembly) の可能性の模索 with LuaJIT 対決,2020-11-14T14:18:18+09:00
https://posfie.com/@dorasuto_/p/yCJhkr2,思想が強いドラえもん―未来を知るドラえもんに社会科の授業をさせる学習漫画の難しさ,2023-05-12T19:00:04+09:00
https://posfie.com/@suzumeninja/p/Z8Ra1ns,和風エロトラップ,2020-07-25T14:49:30+09:00
https://posfie.com/@suzumeninja/p/enoyvpq,水戸淫紋,2018-04-13T11:30:45+09:00
https://posfie.com/@kalofollow/p/PvOLkVz,積読を増やさないようにするため、本を読み終えるまでは本屋に行かないことにしてみた→大問題が発生した,2024-03-07T15:12:01+09:00
https://posfie.com/@mizunotori/p/b4uhtRt,命名者が語る「なぜライトノベルという呼称が定着したのか」,2020-12-07T13:47:28+09:00
https://posfie.com/@N3uuSp3ak/p/CSGSKge,対魔忍はローン審査が通らない？賃貸が借りられない？対魔忍の労働組合ってどうなってんの？,2018-06-16T03:51:38+09:00
https://posfie.com/@kimuraya/p/abpH6ka,課長島耕作の不倫セックスと作中での昭和の大企業の間接部門の描写,2016-03-27T09:31:59+09:00
https://posfie.com/@atochi_kanri/p/7Fbpko5,【炎上対策】企業では”ポリコレ当たり屋は無視しろ”というのが普通になりつつある,2022-05-09T12:56:12+09:00
https://posfie.com/@utsubooks/p/71UokbF,疲れてるのでポイズンで世界各国の赤ちゃんを泣き止ます様を反町隆史本人が見守る動画見て癒されてる→子育て世代の救世主,2024-01-22T15:52:41+09:00
https://posfie.com/@nagix/p/pi2jU05,すげーーー、リアル・シティーズ：スカイライン？時間が溶ける！東京の交通状況がリアルタイムに見える3Dマップ,2024-01-18T21:39:49+09:00
https://posfie.com/@HBonsai/p/9tspoc0,本多勝一「日本語の作文技術」に登場する威圧的で妖しい例文たち,2016-11-16T20:52:40+09:00
https://posfie.com/@hengsu/p/BmzFevi,Shota KATO@st_ktu氏による、英文論文執筆時に気を付けるべき、各節の時制の使い分けについての要約,2024-01-13T10:31:12+09:00
https://posfie.com/@akabane_report/p/X6hREUQ,「面白いシーン全部原作にない」「穴久保版なろう」「原作要素は主人公の服だけ」全関係者の正気を疑う異世界系コミカライズ「追放されたチート付与魔術師は気ままなセカンドライフを謳歌する。〜俺は武器だけじゃなく、あらゆるものに『強化ポイント』を付与できるし、俺の意思でいつでも効果を解除できるけど、残った人たち大丈夫？〜」,2022-10-09T08:45:19+09:00
https://posfie.com/@goldencat222/p/1aMVCns,日中友好の意外なカギを発見しましたｗｗ（1/12）,2013-01-03T17:23:24+09:00
https://posfie.com/@dorasuto_/p/ST9vgom,ドラえもんの新聞に頻出する「ジョン氏の涙 きしめん食べる」とは（追記あり：ジョン氏の涙 真相分かる）,2021-10-15T18:42:52+09:00
