bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date,exist_in_Sophia,exist_in_UTokyo,sophia_opac,utokyo_opac,sophia_mathlib_opac,description
https://bookmeter.com/books/32340,4326301503,社会科学のリサーチ・デザイン : 定性的研究における科学的推論,"King,Gary Keohane,RobertOwen,1941- Verba,Sidney,1932- ほか",勁草書房,200401,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA65724611,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA65724611,,
https://bookmeter.com/books/8043242,4326302313,社会科学の方法論争 : 多様な分析道具と共通の基準,"Brady,HenryE Collier,David,1942- 泉川,泰博 宮下,明聡,1964-",勁草書房,201405,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB1563759X,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB1563759X,,
https://bookmeter.com/books/20523143,4046058153,アメリカ人教授に学ぶ英文ライティングのメタモルフォーゼ = ENGLISH WRITING METAMORPHOSIS LEARNING FROM AN AMERICAN PROFESSOR,,KADOKAWA,202301,No,No,,,,
https://bookmeter.com/books/12737295,4887842090,ここで差がつく!英文ライティングの技術 = ENGLISH WRITING BREAKING AWAY FROM JAPANESE ENGLISH : 英語はI can haveではじめるな!,,テイエス企画,201803,Yes,No,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4887842090,,,
https://bookmeter.com/books/18241087,4756921655,英語ライティングの鬼100則 : 論理的思考をつきつめる,,明日香出版社,202108,No,No,,,,
https://bookmeter.com/books/15239044,4394190045,泉鏡花〈怪談会〉全集,"泉,鏡花,1873-1939 東,雅夫,1958-",春陽堂書店,202005,Yes,No,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB30824606,,,
https://bookmeter.com/books/4025260,4781912850,プログラミング言語の基礎概念 24 (ライブラリ情報学コア・テキスト),"五十嵐,淳,1973-",サイエンス社,201107,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB06214835,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB06214835,,
https://bookmeter.com/books/14065269,4320124502,プログラミング言語の基礎理論,"大堀,淳,1957-",共立出版,201908,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4320124502,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB28664391,,
https://bookmeter.com/books/20500024,4621307630,プログラミング言語の形式的意味論入門,"Winskel,G.(Glynn) 末永,幸平 勝股,審也 中澤,巧爾 西村,進 前田,敦司",丸善出版,202301,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00399346,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD00399346,,
https://bookmeter.com/books/460230,4480062394,グロテスクな教養 / ちくま新書,"高田, 里恵子, 1958-,高田里惠子 著",筑摩書房,"Thu, 4 Aug 2005 00:54:42 +0900",Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA72121263,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA72121263,,
https://bookmeter.com/books/307410,4878938390,蕎麦 (日本の名随筆　別巻19),渡辺文雄／編集,作品社,19920101,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN08085895,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN08085895,,
https://bookmeter.com/books/22161242,4801307337,教養としてのハイブランド,とあるショップのてんちょう／著,彩図社,20240927,No,No,,,,
https://bookmeter.com/books/13051848,4797393963,機械学習のエッセンス = Essence of Machine Learning : 実装しながら学ぶPython、数学、アルゴリズム,"加藤,公一",SBクリエイティブ,201809,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26869837,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB26869837,,
https://bookmeter.com/books/12260780,4061538322,ベイズ推論による機械学習入門 = Introduction to Machine Learning by Bayesian Inference (機械学習スタートアップシリーズ),"須山,敦志 杉山,将",講談社,201710,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB24665734,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB24665734,,
https://bookmeter.com/books/12738319,4873118360,ゼロから作るDeep Learning 2,"斎藤,康毅,1984-",オーム社,201807,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26462476,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB26462476,,
https://bookmeter.com/books/12283535,4320113217,数学の問題をうまくきれいに解く秘訣,"Posamentier,AlfredS Krulik,Stephen 桐木,由美 桐木,紳",共立出版,201709,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB24468562,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB24468562,,
https://bookmeter.com/books/17196990,4627062613,1つの定理を証明する99の方法,"Ording,Philip 冨永,星,1955-",森北出版,202101,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC05337338,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC05337338,,
https://bookmeter.com/books/22275888,4909718133,ZERRO[ゼロ] 増補新装版,松田行正／著,牛若丸,20241204,No,No,,,,
https://bookmeter.com/books/17000390,1506271189,1100 Words You Need to Know + Online Practice: Build Your Vocabulary in just 15 minutes a day!,"Rich Carriero,Murray Bromberg,Melvin Gordon",Barrons Educational Services,2022-06-07,No,No,,,,
https://bookmeter.com/books/19985936,4873119952,機械学習エンジニアのためのTransformers : 最先端の自然言語処理ライブラリによるモデル開発,"Tunstall,Lewis Werra,Leandrovon Wolf,Thomas ほか",オーム社 (発売),202208,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16221663,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC16221663,,
https://bookmeter.com/books/14468317,4794224192,カルチャロミクス : 文化をビッグデータで計測する エ2-1 (草思社文庫),"Aiden,Erez Michel,Jean-Baptiste 阪本,芳久,1950-",草思社,201910,No,No,,,,
https://bookmeter.com/books/15558507,4004318327,「勤労青年」の教養文化史 1832 (岩波新書 新赤版),"福間,良明,1969-",岩波書店,202004,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB30260191,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB30260191,,
https://bookmeter.com/books/8025507,4907162200,魔術の文法学: 記号論的エッセー,"前野, 佳彦,前野佳彦著",テクネ,"Fri, 11 Oct 2024 09:04:52 +0900",No,No,,,,
https://bookmeter.com/books/22187253,4004320364,論理的思考とは何か (岩波新書 ； 新赤版 2036),渡邉雅子,岩波書店,,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD09125485,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD09125485,,
https://bookmeter.com/books/12644142,4048930621,深層学習,"Goodfellow,Ian Bengio,Yoshua Courville,Aaron ほか",KADOKAWA,201802,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25655758,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB25655758,,
https://bookmeter.com/books/21875910,4576240471,津山三十人殺し最終報告書,"石川,清",二見書房,202411,No,No,,,,
https://bookmeter.com/books/21680131,4642039317,夜更かしの社会史 : 安眠と不眠の日本近現代,"近森,高明 右田,裕規",吉川弘文館,202402,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05522290,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD05522290,,
https://bookmeter.com/books/22224576,4798074144,"ハロー“Hello, World” OSと標準ライブラリのシゴトとしくみ 第2版",坂井弘亮,秀和システム,,No,No,,,,
https://bookmeter.com/books/11943756,4087455955,謎の独立国家ソマリランド : そして海賊国家プントランドと戦国南部ソマリア た58-16 (集英社文庫),"高野,秀行,1966-",集英社,201706,No,No,,,,
