isbn_or_asin,book_title,author,publisher,published_date,sophia_opac,sophia_mathlib_opac
4621303112,ルネサンスの多面体百科,"Wade,David,1941- 宮崎,興二,1940- 奈尾,信英 日野,雅之 山下,俊介,博物館学",丸善出版,201807,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26571289,
462130044X,多面体百科,"宮崎,興二,1940-",丸善出版,201610,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB22341130,
448068493X,東大ファッション論集中講義 ４６７ (ちくまプリマー新書),平芳裕子／本文,筑摩書房,20240911,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08553494,
4295015997,Pythonで学ぶ画像認識 = Image Recognition with Python (機械学習実践シリーズ),"田村,雅人 中村,克行",インプレス,202303,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01332748,
4295009849,Pythonで学ぶ音源分離 = Sound Source Separation with Python (機械学習実践シリーズ),"戸上,真人",インプレス,202008,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC02130264,
4582468144,日本遊戯史 : 古代から現代までの遊びと社会,"増川,宏一,1930-",平凡社,201202,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB08390464,
4582468179,日本遊戯思想史,"増川,宏一,1930-",平凡社,201409,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB16817644,
4320115686,はじめて学ぶ集合と位相 : データサイエンスへの応用を目指して,"田村,篤史,数学教育学 猪股,俊光",共立出版,202409,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08572262,
4760139745,世界史と西洋占星術,"Campion,Nicholas,1953- 鏡,リュウジ,1968- 宇佐,和通,1962- ほか",柏書房,201208,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB10092709,
4535790272,見える！ 群論入門［増補版］,𦚰克志,,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08462129,
4535790191,特殊関数探訪 : 三角関数からはじめる不思議な世界,数学セミナー編集部,日本評論社,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08855595,
4627692110,Pythonによるはじめての数値流体力学,"松井,純",森北出版,202409,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08639625,
4895907813,真に役立つ研究のデザインと統計処理 : 統計学の論理的なストーリーを理解する,"関屋, 昇,関屋曻 著",三輪書店,"Thu, 3 Oct 2024 00:57:31 +0900",https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08607287,
4480684611,体育がきらい ４３７ (ちくまプリマー新書),坂本拓弥／本文,筑摩書房,20231006,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD04190231,
4334038638,教育という病 : 子どもと先生を苦しめる「教育リスク」 760 (光文社新書),"内田,良",光文社,201506,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB18865433,
4873119235,ハンズオンNode.js,"今村,謙士",オーム社,202011,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC03828474,
4334103804,まったく新しいアカデミック・ライティングの教科書,阿部幸大,光文社,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07847398,
4535540438,因果推論の計量経済学,川口康平 澤田真行,日本評論社,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD0857886X,
4758918228,形式意味論入門 27 (開拓社叢書),"田中,拓郎",開拓社,201609,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB22032012,
