bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date,exist_in_Sophia,exist_in_UTokyo,sophia_opac,utokyo_opac,sophia_mathlib_opac,description
https://bookmeter.com/books/49351,4819700677,持駒使用の謎 : 日本将棋の起源,"木村, 義徳, 1940-,木村義徳 著",日本将棋連盟,"Wed, 10 Apr 2002 18:46:00 +0900",No,No,,,,
https://bookmeter.com/books/22006,4582474098,放浪学生プラッターの手記 : スイスのルネサンス人,"Platter,Thomas,1499- 阿部,謹也,1935-2006",平凡社,198507,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN0072579X,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN0072579X,,
https://bookmeter.com/books/21583993,4814400497,雑に作る : 電子工作で好きなものを作る近道集 (Make : PROJECTS),"石川,大樹,1980- ギャル電 藤原,麻里菜,1993-",オーム社,202310,No,Yes,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD04391233,,
https://bookmeter.com/books/19139986,4873119782,プログラミングRust,"Blandy,Jim Orendorff,Jason Tindall,LeonoraF.S ほか",オーム社 (発売),202201,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC12108035,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC12108035,,
https://bookmeter.com/books/21686670,4814400594,ゼロから作るDeep Learning. 5,"斎藤,康毅,1984-",オーム社,202404,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD06477034,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD06477034,,
https://bookmeter.com/books/639338,4000068512,計算統計 1 11 (統計科学のフロンティア),"汪,金芳,1963- 甘利,俊一,1936-",岩波書店,200306,No,Yes,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA62415960,,
https://bookmeter.com/books/2652947,4130640720,乱数 (ＵＰ応用数学選書),伏見正則／著,東京大学出版会,19890301,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN03272374,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN03272374,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784130640725&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1,
https://bookmeter.com/books/607800,4254127855,計算統計学の方法 : ブートストラップ・EMアルゴリズム・MCMC 5 (シリーズ予測と発見の科学),"小西,貞則,1948- 越智,義道 大森,裕浩 北川,源四郎,1948- 有川,節夫,1941- ほか",朝倉書店,200803,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA85469710,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA85469710,,
https://bookmeter.com/books/2661118,4903814351,計算機シミュレーションのための確率分布乱数生成法,"四辻, 哲章,四辻哲章 著",プレアデス出版,"Wed, 5 Sep 2018 07:07:11 +0900",Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB02531574,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB02531574,,
https://bookmeter.com/books/109438,4000068520,計算統計 2 12 (統計科学のフロンティア),"伊庭,幸人,1959- 種村,正美,1946- 大森,裕浩 甘利,俊一,1936- ほか",岩波書店,200510,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA73931928,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA73931928,,
https://bookmeter.com/books/34239,4130420674,自然科学の統計学 (基礎統計学),東京大学教養学部統計学教室／編,東京大学出版会,19920801,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN07981801,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN07981801,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784130420679&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1,
https://bookmeter.com/books/46418,4254126654,サンプルサイズの決め方 (統計ライブラリー),"永田,靖,1957-数学",朝倉書店,200309,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA63714639,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA63714639,,
https://bookmeter.com/books/90990,4320017862,これなら分かる最適化数学 : 基礎原理から計算手法まで,"金谷,健一,1947-",共立出版,200509,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA73524651,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA73524651,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784320017863&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1,
https://bookmeter.com/books/1837691,4320016130,統計技法 第14巻 (工系数学講座),"宮川,雅巳,1957- 伊理,正夫,1933-2018",共立出版,199804,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA35346661,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA35346661,,
https://bookmeter.com/books/2208352,4563005525,経済・経営のための基礎数学 6,"深見,哲造,1928- 渡部,隆一,1928-1986",培風館,198405,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN01509290,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN01509290,,
https://bookmeter.com/books/703916,4811557018,EMアルゴリズムと不完全データの諸問題,"渡辺,美智子,1956- 山口,和範,1962-",多賀出版,200002,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA46182282,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA46182282,,
https://bookmeter.com/books/5155075,4486019245,素数夜曲 : 女王陛下のLISP,"吉田,武,1956-",東海大学出版会,201206,No,Yes,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09524409,,
https://bookmeter.com/books/1856253,4501517204,マルチスプライン (情報科学セミナー),チャールズK.チュウイ／著 桜井明／訳 新井勉／訳,東京電機大学出版局,19910910,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN06687875,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN06687875,,
https://bookmeter.com/books/2195408,4501502509,スプライン関数入門 (情報科学セミナー),桜井明／編著 石井好／著 吉村和美／著 高山文雄／著,東京電機大学出版局,19810630,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00730020,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN04618623,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784501502508&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1,
https://bookmeter.com/books/285676,4254126573,グラフィカルモデリング (統計ライブラリー),"宮川,雅巳,1957-",朝倉書店,199703,Yes,Yes,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN16063297,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784254126570&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1,
https://bookmeter.com/books/253143,4769905378,海王星の発見,"Grosser,Morton 高田,紀代志,1950-",恒星社厚生閣,198504,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00472956,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN00472956,,
https://bookmeter.com/books/7671637,0521646529,"Games of No Chance (Mathematical Sciences Research Institute Publications, Series Number 29)",,Cambridge University Press,1998-11-13,No,Yes,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA39984240,,
