isbn_or_asin,book_title,author,publisher,published_date
441662378X,スイッチバック大全 : 日本の“折り返し停車場”140ヶ所の魅力と歴史を全紹介,江上英樹 栗原景,誠文堂新光社,
4480427457,絶滅寸前季語辞典,夏井いつき／著,筑摩書房,20100801
4163918949,コード・ブッダ = CODE BUDDHA : 機械仏教史縁起,"円城,塔",文藝春秋,202409
4297143097,深層ニューラルネットワークの高速化,佐藤竜馬,技術評論社,
4903474496,コンピュータグラフィックス = Computer graphics,画像情報教育振興協会,画像情報教育振興協会,201503
4903474577,ビジュアル情報処理 : CG・画像処理入門 : CGエンジニア検定・画像処理エンジニア検定ベーシック対応書籍,画像情報教育振興協会,画像情報教育振興協会,"Thu, 22 Jun 2017 02:37:43 +0900"
4839984166,大規模データセットのためのアルゴリズムとデータ構造 (Compass),DzejlaMedjedovic EminTahirovic InesDedovic ほか,マイナビ出版,
456962457X,素人のように考え、玄人として実行する : 問題解決のメタ技術,"金出,武雄,1945-",PHP研究所,200306
4297125625,コンセプトから理解するRust,"原,旅人,1975-",技術評論社,202202
4798635758,アクションポーズ大全　アクション漫画家が欲しかった魅せるポーズ5000,霧月,ホビージャパン,
4480430695,中華料理の文化史,張競／著,筑摩書房,20130601
0714111538,Ancient Board Games in Perspective,Irving Finkel,British Museum Press,2007
4845921324,映像クリエイターのための完全独学マニュアル,,フィルムアート社,20221026
4845921170,色のコードを読む,ポール・シンプソン／著 中山ゆかり／翻訳,フィルムアート社,20221224
482400702X,ただのぽんこつ母さんだと思っていたらADHDグレーでした。 (はちみつコミックエッセイ),はなゆい,オーバーラップ,202401
477752275X,よくわかる世界のサイバー犯罪 : フェイクニュース、スパイウェア、個人情報の流出から身を守る : サイバー犯罪の現在を知り自分の身を守ろう (I/O BOOKS),"御池,鮎樹",工学社,202404
4864260524,調査されるという迷惑　増補版,宮本常一 安渓遊地,みずのわ出版,
4791714636,特集民俗学の現在,,青土社,"Thu, 28 Nov 2024 11:15:10 +0900"
4774143731,3分間ネットワーク基礎講座 : 世界一わかりやすいネットワークの授業,"網野,衛二",技術評論社,201010
4802613903,発達障害・メンタル不調などに気づいたときに読む本 : 精神科の受診や特徴までがわかる,"浜内,彩乃",ソシム,202212
4150506094,ヴィクトリア朝時代のインターネット (ハヤカワ文庫NF),トムスタンデージ 服部桂,,
4908686106,Webブラウザセキュリティ : Webアプリケーションの安全性を支える仕組みを整理する,"米内, 貴志,米内貴志 著",ラムダノート,"Tue, 6 Apr 2021 19:33:35 +0900"
4005007929,キリスト教入門 792 (岩波ジュニア新書),"山我,哲雄,1951-",岩波書店,201412
4798068853,Blender Python完全ガイド,ぬっち,秀和システム,202401
4022618655,関西人の正体 い45-4 (朝日文庫),"井上,章一,1955-",朝日新聞出版,201607
4263731638,マイナーエマージェンシー,"大滝,純司,1958- 齊藤,裕之 Buttaravoli,PhilipM Leffler,StephenM",医歯薬出版,201503
4480512233,ガロアの夢 群論と微分方程式 ク-36-1 (ちくま学芸文庫),久賀道郎／本文,筑摩書房,20231211
4635140075,感謝されない医者 : ある凍傷Dr.のモノローグ,"金田,正樹,1946-2019",山と溪谷社,200703
4798069744,ストレンジコード : 難解プログラミング言語を巡る不思議な旅,"Kneusel,RonaldT 水野,貴明,1973- 竹迫,良範,1977-",秀和システム,202402
4908686165,プログラマーのためのCPU入門 : CPUは如何にしてソフトウェアを高速に実行するか,"Takenobu Tani,Takenobu Tani 著",ラムダノート,"Fri, 8 Mar 2024 18:48:48 +0900"
4313180656,公務員の議会答弁言いかえフレーズ,"森下,寿",学陽書房,202110
4560096392,ヨーロッパ中世象徴史,"Pastoureau,Michel,1947- 篠田,勝英,1948-",白水社,201805
4621061453,統計のための行列代数 1 上,,丸善出版,201201
4621061526,統計のための行列代数 2 下,,丸善出版,201201
4901007092,家政婦は見られた! : 土曜ワイド劇場(テレビ朝日系列)家政婦は見た!公式ガイドブック,"柴, 英三郎, 1926-,大沢家政婦研究所,柴英三郎 監修,大沢家政婦研究所 編",音羽出版,"Sat, 20 Mar 2010 08:59:59 +0900"
4815604975,図解入門TCP/IP = An Illustrated Introduction to TCP/IP : 仕組み・動作が見てわかる,"みやた,ひろし",SBクリエイティブ,202012
4815618593,体験しながら学ぶネットワーク技術入門,"みやた,ひろし",SBクリエイティブ,202401
4130606077,光の物理　新装版,小林浩一／著,東京大学出版会,20231102
484437849X,はじめて学ぶバイナリ解析 : 不正なコードからコンピュータを守るサイバーセキュリティ技術 / Next Publishing. OnDeck Books,"小林, 佐保,岡田, 怜士,浅部, 佑,満永, 拓邦,小林佐保, 岡田怜士, 浅部佑, 満永拓邦 著","インプレスR&D,インプレス (発売)","Fri, 16 Oct 2020 04:54:12 +0900"
4594062539,マンガけもの道 : まんだらけ中野店副店長の珍作発掘探訪,"岩井, 道,岩井道 著",扶桑社,"Wed, 13 Oct 2010 00:10:12 +0900"
1786347849,Science Research Writing: For Native And Non-native Speakers Of English (second Edition),Hilary Glasman-deal,WSPC (EUROPE),2020-11-27
4469244082,これでいいのか大学入試英語 下,"Watkins,Gareth",大修館書店,199710
4469244074,これでいいのか大学入試英語 上,"Watkins,Gareth",大修館書店,199710
4309419267,屋根裏に誰かいるんですよ。 : 都市伝説の精神病理 か17-4 (河出文庫),"春日,武彦,1951-",河出書房新社,202210
4295013498,スーパーユーザーなら知っておくべきLINUXシステムの仕組み,"Ward,Brian,1972- 柴田,芳樹,1959-",インプレス,202203
4094083359,実録死体農場 / 小学館文庫,"Bass, William M,Jefferson, Jon,相原, 真理子, 1947-2010,ビル・バス, ジョン・ジェファーソン 著,相原真理子 訳",小学館,"Thu, 24 Jan 2013 07:02:29 +0900"
4775313010,図解魔術の歴史 No.048 (F FILES),"草野,巧,1956-",新紀元社,201503
4867660264,予言獣大図鑑,長野栄俊／編著 岩間理紀／著 笹方政紀／著 峰守ひろかず／著,文学通信,20231206
4873117437,メタプログラミングRuby,"Perrotta,Paolo 角,征典",オーム社,201510
4876872112,鉄道重大事故の歴史,"久保田,博,1924-",グランプリ出版,200006
4876874123,鉄道重大事故の歴史 : 鉄道事故に見る安全技術の進化,"久保田,博",グランプリ出版,202401
4274227553,凸解析と最適化理論 = Convex Analysis and Optimization Theory,"田中,謙輔,1933-2000",オーム社,202109
490868605X,数式組版,"木枝, 祐介,木枝祐介 著",ラムダノート,"Wed, 13 Jun 2018 18:33:52 +0900"
4789837513,ディジタル回路の設計入門 : ハードウェアの動きを理解しながら学ぶ (トランジスタ技術special no.90),湯山俊夫,CQ出版,2005-4-1
4478117764,大学図鑑! 2024,,ダイヤモンド社,202303
4044007527,神秘学講義 G124-1 (角川ソフィア文庫),"高橋,巌,1928-2024",KADOKAWA,202303
4906529925,信州の秘境駅・小駅を巡る : 近代化から過疎化への100年旅,"久保田,稔,1960-",川辺書林,202203
4299042387,クセがスゴい不動産,あなたの理想不動産,宝島社,202306
4802213050,秘境駅で途方に暮れた,"カベルナリア吉田,1965-",イカロス出版,202306
4065332834,中世ヨーロッパの色彩世界 2784 (講談社学術文庫),"徳井,淑子,1949-",講談社,202309
4798027979,わかる!電子工作の基本100,"遠藤,敏夫,1949-",秀和システム,201012
0071752064,Practice Makes Perfect English Articles and Determiners Up Close (Practice Makes Perfect Series),Mark Lester,McGraw-Hill Education,2013-08-07
4480056599,読み書きの技法 / ちくま新書,"小河原, 誠, 1947-,小河原誠 著",筑摩書房,"Tue, 30 Jul 1996 09:00:00 +0900"
4480084886,日本文学史序説　（下）,加藤周一／著,筑摩書房,19990401
4480084878,日本文学史序説　（上）,加藤周一／著,筑摩書房,19990401
4309416845,日本の偽書 ふ19-1 (河出文庫),"藤原,明,1958-",河出書房新社,201905
4798179809,なっとく!関数型プログラミング : 関数型プログラミングの基本概念の全容を把握し活用したい開発者に,"Płachta,Michał クイープ",翔泳社,202308
1837639965,Architecture and Design of the Linux Storage Stack: Gain a deep understanding of the Linux storage landscape and its well-coordinated layers,Muhammad Umer,Packt Publishing,2023-07-28
4102184716,ケプラー予想 : 四百年の難問が解けるまで シ-38-12 (新潮文庫),"Szpiro,George,1950- 青木,薫,1956-",新潮社,201401
4905033314,プロジェクト・シン・エヴァンゲリオン : 実績・省察・評価・総括,"カラー,カラー 編","カラー,グラウンドワークス","Thu, 10 Aug 2023 06:20:19 +0900"
4065324017,プリキュアコスチュームクロニクル = Precure Costume Chronicle : プリキュア20周年アニバーサリー,東映アニメーション株式会社,講談社,202310
9811379661,"Kawaii Engineering: Measurements, Evaluations, and Applications of Attractiveness (Springer Series on Cultural Computing)","Ohkura,Michiko (edt)",Springer,2020-08-15
4309419690,日本怪談実話 た52-1 (河出文庫),"田中,貢太郎,1880-1941",河出書房新社,202306
4309419712,戦前のこわい話 : 怪奇実話集 し10-3 (河出文庫),"志村,有弘,1941-",河出書房新社,202306
4331150526,プログラム学習による基礎電気工学 交流編 / 電気基礎講座 ; 3,"松下電器工学院,松下電器工学院 編著","松下電器産業,広済堂出版","Thu, 17 Apr 1997 00:00:00 +0900"
4331150518,プログラム学習による基礎電気工学 直流編 / 電気基礎講座 1,"松下電器工学院,松下電器工学院 編著",松下電器産業,"Thu, 3 Dec 2009 09:00:00 +0900"
433115050X,基礎電子工学 : プログラム学習による 電子回路編　１ ５ (電気基礎講座),松下電器工学院 末武国弘,松下電器産業,1975
4800307961,元報道記者が見た昭和事件史 : 歴史から抹殺された惨劇の記録,"石川,清,1964-",洋泉社,201511
4863135629,絶対に停まらない世界の廃墟駅 (NATIONAL GEOGRAPHIC),"Ross,David(DavidSoutherland) 大島,聡子",日経BPマーケティング (発売),202305
4761101857,仙人ワンダーランド : 和漢仙人列伝,"影山,純夫,1947-",河原書店,202305
4390114956,フランス怪奇民話集 / 現代教養文庫 ; 1495,"植田, 祐次, 1936-,山内, 淳, 1951-,植田祐次, 山内淳 訳編",社会思想社,"Wed, 30 Mar 1994 09:00:00 +0900"
4040667956,東京大学の学術遺産捃拾帖 103 (メディアファクトリー新書),"モリナガ,ヨウ,1966-",KADOKAWA,201406
4837967701,あなたの知らない「ヘン」な法律 A86-1 (王様文庫),"なかむら,いちろう",三笠書房,201512
4295003255,新人エンジニアのためのインフラ入門 / Think IT BOOKS,"BFT,BFT 著",インプレス,"Mon, 9 Apr 2018 23:56:19 +0900"
400500850X,聖徳太子 : ほんとうの姿を求めて 850 (岩波ジュニア新書),"東野,治之,1946-",岩波書店,201704
4834013871,昔話の語法,"小沢,俊夫,1930-",福音館書店,199910
4908468605,エセ著作権事件簿 Vol.1 (過剰権利主張ケーススタディーズ),友利昴／著,パブリブ,20220711
4061592432,ケルト妖精学 (講談社学術文庫),"井村,君江,1932-",講談社,199608
4480087966,ケルト妖精学 / ちくま学芸文庫,"井村, 君江, 1932-,井村君江 著",筑摩書房,"Tue, 20 Jan 2004 01:54:48 +0900"
4862464831,ゲームエンジンアーキテクチャ,"Gregory,Jason 今給黎,隆,1972- 湊,和久 大貫,宏美 田中,幸,翻訳家",ボーンデジタル,202012
4865280685,わたしが先生の「ロリータ」だったころ,アリソン・ウッド／著者 服部理佳／訳者,左右社,20220307
4798068160,"Good Code,Bad Code : 持続可能な開発のためのソフトウェアエンジニア的思考","Long,Tom 秋,勇紀 高田,新山 山本,大祐,1983-",秀和システム,202302
1680502549,Domain Modeling Made Functional: Tackle Software Complexity with Domain-Driven Design and F#,Scott Wlaschin,Pragmatic Bookshelf,2018-03-06
4764905132,IT技術者の長寿と健康のために,"情報通信医学研究所 長野,宏宣,1945- 中川,晋一,1961- 蒲池,孝一,1947-",近代科学社,201606
0312383215,What People Wore When: A Complete Illustrated History of Costume from Ancient Times to the Nineteenth Century for Every Level of Society,Melissa Leventon,St. Martin's Griffin,2008-07-08
4798061700,実践Rustプログラミング入門 = introduction to rust programming,"初田,直也 山口,聖弘 吉川,哲史 豊田,優貴 松本,健太郎,webエンジニア 原,将己 ほか",秀和システム,202009
4562072547,世界を騙した女詐欺師たち,"Telfer,Tori 富原,まさ江,1965-",原書房,202302
4344953304,幼なじみ萌え : ラブコメ恋愛文化史,"玉井,建也",幻冬舎,201711
3031004418,General Game Playing (Synthesis Lectures on Artificial Intelligence and Machine Learning),"Michael Genesereth,Michael Thielscher",Springer,2014-03-18
4798125393,実践プログラミングDSL : ドメイン特化言語の設計と実装のノウハウ (Programmer's SELECTION),"Ghosh,Debasish,1953- 佐藤,竜一,1972-",翔泳社,201206
4839967091,囲碁ディープラーニングプログラミング,"Pumperla,Max Ferguson,Kevin 山岡,忠夫",マイナビ出版,201904
